"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"29","30","541-2888-1-ND","RCS04021K00FKED","RES SMD 1K OHM 1% 1/5W 0402","","30","0","0.10000","3.00"
"30","10","541-2.20KYCT-ND","CRCW04022K20FKEDHP","RES SMD 2.2K OHM 1% 1/5W 0402","","10","0","0.12600","1.26"
"31","100","541-4.70KYCT-ND","CRCW04024K70FKEDHP","RES SMD 4.7K OHM 1% 1/5W 0402","","100","0","0.04840","4.84"
"32","100","541-10.0KYCT-ND","CRCW040210K0FKEDHP","RES SMD 10K OHM 1% 1/5W 0402","","100","0","0.04840","4.84"
"33","20","CRCW040218K0FKEDHPCT-ND","CRCW040218K0FKEDHP","RES SMD 18K OHM 1% 1/5W 0402","","20","0","0.12600","2.52"
"34","20","541-CRCW040227K0FKEDHPCT-ND","CRCW040227K0FKEDHP","RES SMD 27K OHM 1% 1/5W 0402","","20","0","0.12600","2.52"
"35","10","541-10406-1-ND","RCS040239K0FKED","RES SMD 39K OHM 1% 1/5W 0402","","10","0","0.10000","1.00"
"36","20","541-100KYCT-ND","CRCW0402100KFKEDHP","RES SMD 100K OHM 1% 1/5W 0402","","20","0","0.12600","2.52"
"37","20","A127538CT-ND","RP73PF1E191KBTD","RES 191K OHM 0.1% 1/10W 0402","","20","0","0.44200","8.84"
"38","10","541-1.00MYCT-ND","CRCW04021M00FKEDHP","RES SMD 1M OHM 1% 1/5W 0402","","10","0","0.12600","1.26"
"39","15","WM7893CT-ND","5015680207","CONN HEADER SMD R/A 2POS 1MM","","15","0","0.47900","7.19"
"40","20","WM7897CT-ND","5015680607","CONN HEADER SMD R/A 6POS 1MM","","20","0","0.67500","13.50"
"41","5","WM7895CT-ND","5015680407","CONN HEADER SMD R/A 4POS 1MM","","5","0","0.55000","2.75"
"42","15","WM7915-ND","5013300200","CONN RCPT 1MM VERT 2POS","","15","0","0.25100","3.77"
"43","20","WM7919-ND","5013300600","CONN RCPT 1MM VERT 6POS","","20","0","0.27500","5.50"
"44","5","WM7917-ND","5013300400","CONN RCPT 1MM VERT 4POS","","5","0","0.27000","1.35"
"45","250","WM7933-ND","5013340100","CONN SOCKET 28-32AWG CRIMP TIN","","250","0","0.05576","13.94"
"46","4","535-ASDAIG-32.000MHZ-X-K-S-TCT-ND","ASDAIG-32.000MHZ-X-K-S-T","OSC XO 32.000MHZ 3.3V CMOS SMD","","4","0","1.58000","6.32"
"47","4","SRN2009T-6R8MCT-ND","SRN2009T-6R8M","FIXED IND 6.8UH 650MA 550MOHM SM","","4","0","0.39000","1.56"
"48","10","490-13265-1-ND","BLM21SN300SH1D","FERRITE BEAD 30 OHM 0805 1LN","","10","0","0.15300","1.53"
